"","latitud","provincia","altitud","indicativo","nombre","indsinop","longitud","grados_lat","minutos_lat","segundos_lat","orient_lat","latitud_dec","grados_lon","minutos_lon","segundos_lon","orient_lon","longitud_dec"
"259","422927N","ZARAGOZA","626","9244X","SOS DEL REY CATÓLICO","08090","011249W",42,29,27,"N",42.4908333333333,1,12,49,"W",-1.21361111111111
"260","413938N","ZARAGOZA","249","9434","ZARAGOZA AEROPUERTO","08160","010015W",41,39,38,"N",41.6605555555556,1,0,15,"W",-1.00416666666667
"261","413715N","ZARAGOZA","254","9434P","ZARAGOZA, VALDESPARTERA","08159","005606W",41,37,15,"N",41.6208333333333,0,56,6,"W",-0.935
"262","394256N","ILLES BALEARS","66","B569X","CAPDEPERA","08311","032841E",39,42,56,"N",39.7155555555556,3,28,41,"E",3.47805555555556
"263","394924N","ILLES BALEARS","490","B013X","ESCORCA, LLUC","08304","025309E",39,49,24,"N",39.8233333333333,2,53,9,"E",2.88583333333333
"264","385235N","ILLES BALEARS","6","B954","IBIZA, AEROPUERTO","08373","012304E",38,52,35,"N",38.8763888888889,1,23,4,"E",1.38444444444444
"265","395117N","ILLES BALEARS","91","B893","MENORCA, AEROPUERTO","08314","041256E",39,51,17,"N",39.8547222222222,4,12,56,"E",4.21555555555556
"266","393339N","ILLES BALEARS","8","B278","PALMA DE MALLORCA, AEROPUERTO","08306","024412E",39,33,39,"N",39.5608333333333,2,44,12,"E",2.73666666666667
"267","393312N","ILLES BALEARS","3","B228","PALMA, PUERTO","08301","023731E",39,33,12,"N",39.5533333333333,2,37,31,"E",2.62527777777778
"268","393118N","ILLES BALEARS","120","B346X","PORRERES","08310","030109E",39,31,18,"N",39.5216666666667,3,1,9,"E",3.01916666666667
"269","392452N","ILLES BALEARS","17","B434X","PORTOCOLOM  ","08309","031618E",39,24,52,"N",39.4144444444444,3,16,18,"E",3.27166666666667
"270","394457N","ILLES BALEARS","40","B691Y","SA POBLA","08312","030100E",39,44,57,"N",39.7491666666667,3,1,0,"E",3.01666666666667
"271","394406N","ILLES BALEARS","1030","B248","SIERRA DE ALFABIA, BUNYOLA","08303","024247E",39,44,6,"N",39.735,2,42,47,"E",2.71305555555556
"272","282641N","LAS PALMAS","25","C249I","FUERTEVENTURA AEROPUERTO","60035","135147W",28,26,41,"N",28.4447222222222,13,51,47,"W",-13.8630555555556
"273","275504N","LAS PALMAS","32","C649I","GRAN CANARIA AEROPUERTO","60030","152343W",27,55,4,"N",27.9177777777778,15,23,43,"W",-15.3952777777778
"274","280003N","LAS PALMAS","10","C619I","LA ALDEA DE SAN NICOLÁS","60027","154850W",28,0,3,"N",28.0008333333333,15,48,50,"W",-15.8138888888889
"275","285707N","LAS PALMAS","14","C029O","LANZAROTE AEROPUERTO","60040","133601W",28,57,7,"N",28.9519444444444,13,36,1,"W",-13.6002777777778
"276","280647N","LAS PALMAS","15","C659M","LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA","60032","152517W",28,6,47,"N",28.1130555555556,15,25,17,"W",-15.4213888888889
"277","280523N","LAS PALMAS","55","C659H","LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL","60029","152458W",28,5,23,"N",28.0897222222222,15,24,58,"W",-15.4161111111111
"278","274409N","LAS PALMAS","6","C689E","MASPALOMAS","60037","153545W",27,44,9,"N",27.7358333333333,15,35,45,"W",-15.5958333333333
"279","274859N","LAS PALMAS","10","C629X","MOGÁN, PUERTO","60036","154551W",27,48,59,"N",27.8163888888889,15,45,51,"W",-15.7641666666667
"280","280257N","LAS PALMAS","15","C229J","PÁJARA","60034","142129W",28,2,57,"N",28.0491666666667,14,21,29,"W",-14.3580555555556
"281","291355N","LAS PALMAS","10","C839I","TEGUISE","","133007W",29,13,55,"N",29.2319444444444,13,30,7,"W",-13.5019444444444
"282","281906N","STA. CRUZ DE TENERIFE","115","C439J","GÜÍMAR","60018","162256W",28,19,6,"N",28.3183333333333,16,22,56,"W",-16.3822222222222
"283","274908N","STA. CRUZ DE TENERIFE","32","C929I","HIERRO AEROPUERTO","60001","175320W",27,49,8,"N",27.8188888888889,17,53,20,"W",-17.8888888888889
"284","281832N","STA. CRUZ DE TENERIFE","2371","C430E","IZAÑA","60010","162958W",28,18,32,"N",28.3088888888889,16,29,58,"W",-16.4994444444444
"285","283759N","STA. CRUZ DE TENERIFE","33","C139E","LA PALMA AEROPUERTO","60005","174518W",28,37,59,"N",28.6330555555556,17,45,18,"W",-17.755
"286","282505N","STA. CRUZ DE TENERIFE","25","C459Z","PUERTO DE LA CRUZ","60012","163253W",28,25,5,"N",28.4180555555556,16,32,53,"W",-16.5480555555556
"287","280523N","STA. CRUZ DE TENERIFE","15","C329Z","SAN SEBASTIÁN DE LA GOMERA","60008","170641W",28,5,23,"N",28.0897222222222,17,6,41,"W",-17.1113888888889
"288","282748N","STA. CRUZ DE TENERIFE","35","C449C","STA.CRUZ DE TENERIFE","60020","161519W",28,27,48,"N",28.4633333333333,16,15,19,"W",-16.2552777777778
"289","283545N","STA. CRUZ DE TENERIFE","62","C129Z","TAZACORTE","60004","175455W",28,35,45,"N",28.5958333333333,17,54,55,"W",-17.9152777777778
"290","282839N","STA. CRUZ DE TENERIFE","632","C447A","TENERIFE NORTE AEROPUERTO","60015","161946W",28,28,39,"N",28.4775,16,19,46,"W",-16.3294444444444
"291","280249N","STA. CRUZ DE TENERIFE","64","C429I","TENERIFE SUR AEROPUERTO","60025","163340W",28,2,49,"N",28.0469444444444,16,33,40,"W",-16.5611111111111
