"","latitud","id_old","url","latitud_dec","altitud","capital","num_hab","zona_comarcal","destacada","nombre","longitud_dec","id","longitud"
"5963","39º24'11.902104""","16680","san-clemente-id16190","39.40330614","721","San Clemente","7188","681603","1","San Clemente","-2.42962901","16190","-2º25'46.664436"""
"5964","42º28'31.522152""","32740","san-cristovo-de-cea-id32076","42.47542282","526","Cea","2418","713201","0","San Cristovo de Cea","-7.98584607","32076","-7º59'9.045852"""
"5965","42º32'32.19558""","34544","san-cristobal-de-boedo-id34161","42.54227655","876","San Cristóbal de Boedo","23","673402","0","San Cristóbal de Boedo","-4.35197971","34161","-4º21'7.126956"""
"5966","41º24'24.68736""","40644","san-cristobal-de-cuellar-id40177","41.40685760","812","San Cristóbal de Cuéllar","163","674001","0","San Cristóbal de Cuéllar","-4.40430162","40177","-4º24'15.485832"""
"5967","42º2'48.929388""","49522","san-cristobal-de-entrevinas-id49187","42.04692483","714","San Cristóbal de Entreviñas","1491","674902","1","San Cristóbal de Entreviñas","-5.63394195","49187","-5º38'2.19102"""
"5968","28º29'14.961624""","38230","san-cristobal-de-la-laguna-id38023","28.48748934","549","San Cristóbal de La Laguna","153009","659602","1","San Cristóbal de La Laguna","-16.31466014","38023","-16º18'52.776504"""
"5969","40º57'7.425504""","40650","san-cristobal-de-segovia-id40906","40.95206264","1074","San Cristóbal de Segovia","2939","674002","1","San Cristóbal de Segovia","-4.07579187","40906","-4º4'32.850732"""
"5970","41º1'44.770656""","37517","san-cristobal-de-la-cuesta-id37278","41.02910296","821","San Cristóbal de la Cuesta","1001","673701","0","San Cristóbal de la Cuesta","-5.61940288","37278","-5º37'9.850368"""
"5971","42º23'25.918404""","24556","san-cristobal-de-la-polantera-id24144","42.39053289","796","San Cristóbal de la Polantera","808","672403","0","San Cristóbal de la Polantera","-5.90745168","24144","-5º54'26.826048"""
"5972","41º6'46.670148""","40648","san-cristobal-de-la-vega-id40178","41.11296393","865","San Cristóbal de la Vega","124","674001","0","San Cristóbal de la Vega","-4.64690342","40178","-4º38'48.852312"""
"5973","42º58'20.784036""","24560","san-emiliano-id24145","42.97244001","1180","San Emiliano","691","672401","0","San Emiliano","-6.00164929","24145","-6º0'5.937444"""
"5974","41º34'31.031472""","42680","san-esteban-de-gormaz-id42162","41.57528652","876","San Esteban de Gormaz","3067","674202","1","San Esteban de Gormaz","-3.20832556","42162","-3º12'29.972016"""
"5975","41º54'13.946544""","22656","san-esteban-de-litera-id22205","41.90387404","460","San Esteban de Litera","495","622203","0","San Esteban de Litera","0.32599128","22205","0º19'33.568608"""
"5976","42º9'33.806268""","24564","san-esteban-de-nogales-id24146","42.15939063","782","San Esteban de Nogales","285","672403","0","San Esteban de Nogales","-5.93133412","24146","-5º55'52.802832"""
"5977","41º5'31.770564""","05588","san-esteban-de-zapardiel-id05208","41.09215849","781","San Esteban de Zapardiel","40","670501","0","San Esteban de Zapardiel","-4.90123587","05208","-4º54'4.449132"""
